# River:       AMAZON RIVER
# Station:   AMAZON_KM0828
# Latitude (DD): -56.71
# Longitude (DD):  -2.61
# Catchment area (km2):  4456614.7
# Altitude (m MSL):   7.20
#============================================================
#
# Reference Ellipsoid: WGS84
# Geoid Model: EGM2008
# --------------------
# Unit of measure: m
#
# Table Header:
#     YYYY-MM-DD - Date
#     Value      - Sample observed data
#============================================================
#
YYYY-MM-DD     Value
#============================================================
2000-01-11         8.83
2000-01-21        10.02
2000-01-31        10.88
2000-02-10        11.58
2000-02-20        12.07
2000-03-01        12.40
2000-03-11        12.81
2000-03-21        13.32
2000-03-31        13.65
2000-04-10        14.02
2000-04-20        14.50
2000-04-30        14.93
2000-05-10        15.22
2000-05-20        15.42
2000-05-30        15.52
2000-06-09        15.40
2000-06-19        15.09
2000-06-29        14.68
2000-07-09        14.17
2000-07-19        13.60
2000-07-29        12.91
2000-08-08        11.98
2000-08-18        10.86
2000-08-28         9.44
2000-09-07         7.33
2000-09-17         4.64
2000-09-27         3.44
2000-10-07         3.54
2000-10-17         3.51
2000-10-27         3.19
2000-11-06         3.58
2000-11-16         4.85
2000-11-26         5.65
2000-12-06         5.53
2000-12-16         5.60
2000-12-26         6.33
2001-01-05         6.42
2001-01-15         7.50
2001-01-25         9.04
2001-02-04        10.13
2001-02-14        10.82
2001-02-24        11.23
2001-03-06        11.78
2001-03-16        12.26
2001-03-26        12.67
2001-04-05        13.38
2001-04-15        13.99
2001-04-25        14.32
2001-05-05        14.36
2001-05-15        14.58
2001-05-25        14.59
2001-06-04        14.56
2001-06-14        14.56
2001-06-24        14.44
2001-07-04        14.05
2001-07-14        13.38
2001-07-24        12.55
2001-08-03        11.51
2001-08-13        10.18
2001-08-23         8.45
2001-09-02         5.53
2001-09-12         3.33
2001-09-22         3.06
2001-10-02         3.09
2001-10-12         3.03
2001-10-22         3.01
2001-11-01         3.53
2001-11-11         3.90
2001-11-21         4.23
2001-12-01         4.57
2001-12-11         5.74
2001-12-21         6.83
2001-12-31         7.78
