# River:        CONGO RIVER
# Station:    CONGO_KM0032
# Latitude (DD):  12.56
# Longitude (DD):  -6.05
# Catchment area (km2):  3675668.6
# Altitude (m MSL):   0.00
#============================================================
#
# Reference Ellipsoid: WGS84
# Geoid Model: EGM2008
# --------------------
# Unit of measure: m
#
# Table Header:
#     YYYY-MM-DD - Date
#     Value      - Sample observed data
#============================================================
#
YYYY-MM-DD     Value
#============================================================
2000-01-11         1.36
2000-01-21         1.31
2000-01-31         1.26
2000-02-10         1.17
2000-02-20         1.15
2000-03-01         1.07
2000-03-11         1.05
2000-03-21         1.00
2000-03-31         0.96
2000-04-10         0.96
2000-04-20         0.94
2000-04-30         0.92
2000-05-10         0.93
2000-05-20         0.92
2000-05-30         0.88
2000-06-09         0.83
2000-06-19         0.79
2000-06-29         0.77
2000-07-09         0.75
2000-07-19         0.73
2000-07-29         0.71
2000-08-08         0.71
2000-08-18         0.71
2000-08-28         0.71
2000-09-07         0.70
2000-09-17         0.74
2000-09-27         0.76
2000-10-07         0.78
2000-10-17         0.86
2000-10-27         0.90
2000-11-06         0.95
2000-11-16         1.01
2000-11-26         1.07
2000-12-06         1.09
2000-12-16         1.07
2000-12-26         1.03
2001-01-05         1.01
2001-01-15         0.97
2001-01-25         0.95
2001-02-04         0.95
2001-02-14         0.92
2001-02-24         0.91
2001-03-06         0.92
2001-03-16         0.96
2001-03-26         0.98
2001-04-05         1.03
2001-04-15         1.19
2001-04-25         1.31
2001-05-05         1.36
2001-05-15         1.27
2001-05-25         1.15
2001-06-04         1.07
2001-06-14         0.99
2001-06-24         0.92
2001-07-04         0.86
2001-07-14         0.83
2001-07-24         0.81
2001-08-03         0.78
2001-08-13         0.76
2001-08-23         0.75
2001-09-02         0.75
2001-09-12         0.76
2001-09-22         0.78
2001-10-02         0.81
2001-10-12         0.83
2001-10-22         0.86
2001-11-01         0.90
2001-11-11         0.97
2001-11-21         1.02
2001-12-01         1.07
2001-12-11         1.13
2001-12-21         1.12
2001-12-31         1.09
