# River:       MEKONG RIVER
# Station:   MEKONG_KM1254
# Latitude (DD): 104.73
# Longitude (DD):  17.49
# Catchment area (km2):  372646.8
# Altitude (m MSL): 135.30
#============================================================
#
# Reference Ellipsoid: WGS84
# Geoid Model: EGM2008
# --------------------
# Unit of measure: m
#
# Table Header:
#     YYYY-MM-DD - Date
#     Value      - Sample observed data
#============================================================
#
YYYY-MM-DD     Value
#============================================================
2000-01-11       132.42
2000-01-21       132.15
2000-01-31       131.93
2000-02-10       132.71
2000-02-20       131.61
2000-03-01       131.98
2000-03-11       132.04
2000-03-21       131.23
2000-03-31       130.99
2000-04-10       131.75
2000-04-20       132.87
2000-04-30       133.73
2000-05-10       136.50
2000-05-20       139.38
2000-05-30       137.55
2000-06-09       138.03
2000-06-19       141.17
2000-06-29       142.19
2000-07-09       141.05
2000-07-19       145.09
2000-07-29       144.79
2000-08-08       143.99
2000-08-18       143.47
2000-08-28       143.64
2000-09-07       145.07
2000-09-17       146.15
2000-09-27       142.36
2000-10-07       139.34
2000-10-17       137.84
2000-10-27       136.42
2000-11-06       136.23
2000-11-16       134.08
2000-11-26       133.52
2000-12-06       133.19
2000-12-16       132.80
2000-12-26       132.40
2001-01-05       132.11
2001-01-15       131.90
2001-01-25       131.69
2001-02-04       131.46
2001-02-14       131.29
2001-02-24       131.14
2001-03-06       131.02
2001-03-16       131.79
2001-03-26       132.48
2001-04-05       131.85
2001-04-15       131.38
2001-04-25       132.83
2001-05-05       132.51
2001-05-15       134.01
2001-05-25       138.40
2001-06-04       140.52
2001-06-14       141.72
2001-06-24       138.38
2001-07-04       140.90
2001-07-14       143.46
2001-07-24       144.94
2001-08-03       144.71
2001-08-13       147.24
2001-08-23       144.94
2001-09-02       143.60
2001-09-12       145.72
2001-09-22       143.13
2001-10-02       140.47
2001-10-12       139.03
2001-10-22       137.66
2001-11-01       137.60
2001-11-11       138.41
2001-11-21       135.55
2001-12-01       134.57
2001-12-11       133.92
2001-12-21       133.41
2001-12-31       133.04
